Name,Type,Cat,PP,Att,Acc,OG Description
Razor Wind,Normal,Special,30,3d4,100,A two-turn attack. Blades of wind hit opposing Pokémon on the second turn. Critical hits land more easily.
Recover,Normal,Other,30,--,--,"Restoring its own cells, the user restores its own HP by half of its max HP."
Recycle,Normal,Other,30,--,--,The user recycles a held item that has been used in battle so it can be used again.
Reflect,Psychc,Other,20,--,--,A wondrous wall of light is put up to suppress damage from physical attacks for five turns.
Reflect Type,Normal,Other,25,--,--,"The user reflects the target's type, making it the same type as the target."
Refresh,Normal,Other,20,--,--,"The user rests to cure itself of a poisoning, burn, or paralysis."
Relic Song,Normal,Special,30,3d4,100,The user sings an ancient song and attacks by appealing to the hearts of those listening. It may also induce sleep.
Rest,Psychc,Other,30,--,--,The user goes to sleep for two turns. It fully restores the user's HP and heals any status problem.
Retaliate,Normal,Physical,35,3d4,100,"The user gets revenge for a fainted ally. If an ally fainted in the previous turn, this attack's damage increases."
Return,Normal,Physical,20,--,100,A full-power attack that grows more powerful the more the user likes its Trainer.
Revenge,Fight,Physical,30,1d12,100,An attack move that inflicts double the damage if the user has been hurt by the opponent in the same turn.
Reversal,Fight,Physical,25,--,100,An all-out attack that becomes more powerful the less HP the user has.
Roar,Normal,Other,20,--,100,"The target is scared off and replaced by another Pokémon in its party. In the wild, the battle ends."
Roar Of Time,Dragon,Special,35,3d10,90,The user blasts the target with power that distorts even time. The user must rest on the next turn.
Rock Blast,Rock,Physical,30,1d4,90,The user hurls hard rocks at the target. Two to five rocks are launched in quick succession.
Rock Climb,Normal,Physical,20,2d8,85,The user attacks the target by smashing into it with incredible force. It may also confuse the target.
Rock Polish,Rock,Other,20,--,--,The user polishes its body to reduce drag. It can sharply raise the Speed stat.
Rock Slide,Rock,Physical,30,3d4,90,Large boulders are hurled at the opposing team to inflict damage. It may also make the targets flinch.
Rock Smash,Fight,Physical,25,2d4,100,The user attacks with a punch that can shatter a rock. It may also lower the target's Defense stat.
Rock Throw,Rock,Physical,25,1d10,90,The user picks up and throws a small rock at the target to attack.
Rock Tomb,Rock,Physical,30,1d10,80,Boulders are hurled at the target. It also lowers the target's Speed by preventing its movement.
Rock Wrecker,Rock,Physical,35,3d10,90,"The user launches a huge boulder at the target to attack. It must rest on the next turn, however."
Role Play,Psychc,Other,30,--,--,"The user mimics the target completely, copying the target's natural Ability."
Rolling Kick,Fight,Physical,25,1d12,85,"The user lashes out with a quick, spinning kick. It may also make the target flinch."
Rollout,Rock,Physical,20,1d6,90,The user continually rolls into the target over five turns. It becomes stronger each time it hits.
Roost,Flying,Other,30,--,--,The user lands and rests its body. It restores the user's HP by up to half of its max HP.
Round,Normal,Special,25,1d12,100,The user attacks the target with a song. Others can join in the Round and make the attack do greater damage.
Sacred Fire,Fire,Physical,35,2d10,95,The target is razed with a mystical fire of great intensity. It may also leave the target with a burn.
Sacred Sword,Fight,Physical,20,2d8,100,The user attacks by slicing with its long horns. The target's stat changes don't affect this attack's damage.
Safeguard,Normal,Other,15,--,--,The user creates a protective field that prevents status problems for five turns.
Sand Tomb,Ground,Physical,25,1d6,85,The user traps the target inside a harshly raging sandstorm for four to five turns.
Sand-attack,Ground,Other,25,--,100,"Sand is hurled in the target's face, reducing its accuracy."
Sandstorm,Rock,Other,30,--,--,"A five-turn sandstorm is summoned to hurt all combatants except the Rock, Ground, and Steel types."
Scald,Water,Special,25,3d4,100,The user shoots boiling hot water at its target. It may also leave the target with a burn.
Scary Face,Normal,Other,30,--,100,The user frightens the target with a scary face to harshly reduce its Speed stat.
Scratch,Normal,Physical,5,2d4,100,"Hard, pointed, and sharp claws rake the target to inflict damage."
Screech,Normal,Other,1,--,85,An earsplitting screech harshly reduces the target's Defense stat.
Searing Shot,Fire,Special,35,2d10,100,An inferno of scarlet flames torches everything around the user. It may leave targets with a burn.
Secret Power,Normal,Physical,20,3d4,100,The user attacks the target with a secret power. Its added effects vary depending on the user's environment.
Secret Sword,Fight,Special,30,2d8,100,The user cuts with its long horn. The odd power contained in the horn does physical damage to the target.
Seed Bomb,Grass,Physical,25,3d4,100,The user slams a barrage of hard-shelled seeds down on the target from above.
Seed Flare,Grass,Special,35,2d12,85,The user emits a shock wave from its body to attack its target. It may harshly lower the target's Sp. Def.
Seismic Toss,Fight,Physical,20,--,100,The target is thrown using the power of gravity. It inflicts damage equal to the user's level.
Selfdestruct,Normal,Physical,35,2d20,100,The user attacks everything around it by causing an explosion. The user faints upon using this move.
Shadow Ball,Ghost,Special,25,3d4,100,The user hurls a shadowy blob at the target. It may also lower the target's Sp. Def stat.
Shadow Claw,Ghost,Physical,25,3d4,100,The user slashes with a sharp claw made from shadows. Critical hits land more easily.
Shadow Force,Ghost,Physical,35,2d12,100,"The user disappears, then strikes the target on the second turn. It hits even if the target protects itself."
Shadow Punch,Ghost,Physical,20,1d12,--,The user throws a punch from the shadows. The punch lands without fail.
Shadow Sneak,Ghost,Physical,10,2d4,100,The user extends its shadow and attacks the target from behind. This move always goes first.
Sharpen,Normal,Other,10,--,--,"The user reduces its polygon count to make itself more jagged, raising the Attack stat."
Sheer Cold,Ice,Special,35,--,30,The target is attacked with a blast of absolute-zero cold. The target instantly faints if it hits.
Shell Smash,Normal,Other,25,--,--,"The user breaks its shell, lowering its Defense and Sp. Def stats but sharply raising Attack, Sp. Atk, and Speed stats."
Shift Gear,Steel,Other,30,--,--,"The user rotates its gears, raising its Attack and sharply raising its Speed."
Shock Wave,Electr,Special,20,1d12,--,The user strikes the target with a quick jolt of electricity. This attack cannot be evaded.
Signal Beam,Bug,Special,25,3d4,100,The user attacks with a sinister beam of light. It may also confuse the target.
Silver Wind,Bug,Special,35,1d12,100,The target is attacked with powdery scales blown by wind. It may also raise all the user's stats.
Simple Beam,Normal,Other,25,--,100,The user's mysterious psychic wave changes the target's Ability to Simple.
Sing,Normal,Other,25,--,55,A soothing lullaby is sung in a calming voice that puts the target into a deep slumber.
Sketch,Normal,Other,40,--,--,"It enables the user to permanently learn the move last used by the target. Once used, Sketch disappears."
Skill Swap,Psychc,Other,30,--,--,The user employs its psychic power to exchange Abilities with the target.
Skull Bash,Normal,Physical,25,2d10,100,"The user tucks in its head to raise its Defense in the first turn, then rams the target on the next turn."
Sky Attack,Flying,Physical,35,3d8,90,A second-turn attack move where critical hits land more easily. It may also make the target flinch.
Sky Drop,Flying,Physical,30,1d12,100,"The user takes the target into the sky, then drops it during the next turn. The target cannot attack while in the sky."
Sky Uppercut,Fight,Physical,25,2d8,90,The user attacks the target with an uppercut thrown skyward with force.
Slack Off,Normal,Other,30,--,--,"The user slacks off, restoring its own HP by up to half of its maximum HP."
Slam,Normal,Physical,20,3d4,75,"The target is slammed with a long tail, vines, etc., to inflict damage."
Slash,Normal,Physical,20,3d4,100,The target is attacked with a slash of claws or blades. Critical hits land more easily.
Sleep Powder,Grass,Other,25,--,75,The user scatters a big cloud of sleep-inducing dust around the target.
Sleep Talk,Normal,Other,30,--,--,"While it is asleep, the user randomly uses one of the moves it knows."
Sludge,Poison,Special,20,2d6,100,Unsanitary sludge is hurled at the target. It may also poison the target.
Sludge Bomb,Poison,Special,30,2d8,100,Unsanitary sludge is hurled at the target. It may also poison the target.
Sludge Wave,Poison,Special,30,2d8,100,It swamps the area around the user with a giant sludge wave. It may also poison those hit.
Smack Down,Rock,Physical,25,1d10,100,The user throws a stone or projectile to attack an opponent. A flying Pokémon will fall to the ground when hit.
Smellingsalt,Normal,Physical,30,1d12,100,"This attack inflicts double damage on a target with paralysis. It also cures the target's paralysis, however."
Smog,Poison,Special,20,1d4,70,The target is attacked with a discharge of filthy gases. It may also poison the target.
Smokescreen,Normal,Other,20,--,100,The user releases an obscuring cloud of smoke or ink. It reduces the target's accuracy.
Snarl,Dark,Special,25,1d10,95,"The user yells as if it is ranting about something, making the target's Sp. Atk stat decrease."
Snatch,Dark,Other,30,--,--,The user steals the effects of any healing or stat-changing move the opponent attempts to use.
Snore,Normal,Special,25,2d4,100,An attack that can be used only if the user is asleep. The harsh noise may also make the target flinch.
Soak,Water,Other,20,--,100,The user shoots a torrent of water at the target and changes the target's type to Water.
Softboiled,Normal,Other,30,--,--,The user restores its own HP by up to half of its maximum HP. May also be used in the field to heal HP.
Solarbeam,Grass,Special,30,2d12,100,"A two-turn attack. The user gathers light, then blasts a bundled beam on the second turn."
Sonicboom,Normal,Special,20,--,90,The target is hit with a destructive shock wave that always inflicts 20 HP damage.
Spacial Rend,Dragon,Special,35,2d10,95,The user tears the target along with the space around it. Critical hits land more easily.
Spark,Electr,Physical,20,2d6,100,The user throws an electrically charged tackle at the target. It may also leave the target with paralysis.
Spider Web,Bug,Other,30,--,--,"The user ensnares the target with thin, gooey silk so it can't flee from battle."
Spike Cannon,Normal,Physical,25,1d4,100,Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.
Spikes,Ground,Other,20,--,--,The user lays a trap of spikes at the opposing team's feet. The trap hurts Pokémon that switch into battle.
Spit Up,Normal,Special,30,--,100,"The power stored using the move Stockpile is released at once in an attack. The more power is stored, the greater the damage."
Spite,Ghost,Other,30,--,100,The user unleashes its grudge on the move last used by the target by cutting 4 PP from it.
Splash,Normal,Other,1,--,--,The user just flops and splashes around to no effect at all...
Spore,Grass,Other,25,--,100,The user scatters bursts of spores that induce sleep.
Stealth Rock,Rock,Other,20,--,--,The user lays a trap of levitating stones around the opponent's team. The trap hurts opponents that switch into battle.
Steamroller,Bug,Physical,20,2d6,100,The user crushes its targets by rolling over them with its rolled-up body. This attack may make the target flinch.
Steel Wing,Steel,Physical,15,3d4,90,The target is hit with wings of steel. It may also raise the user's Defense stat.
Stockpile,Normal,Other,20,--,--,The user charges up power and raises both its Defense and Sp. Def. The move can be used three times.
Stomp,Normal,Physical,20,2d6,100,The target is stomped with a big foot. It may also make the target flinch.
Stone Edge,Rock,Physical,35,2d10,80,The user stabs the foe with sharpened stones from below. It has a high critical-hit ratio.
Stored Power,Psychc,Special,30,1d4,100,"The user attacks the target with stored power. The more the user's stats are raised, the greater the damage."
Storm Throw,Fight,Physical,30,2d4,100,The user strikes the target with a fierce blow. This attack always results in a critical hit.
Strength,Normal,Physical,25,3d4,100,The target is slugged with a punch thrown at maximum power. It can also be used to move heavy boulders.
String Shot,Bug,Other,1,--,95,The targets are bound with silk blown from the user's mouth. This silk reduces the targets' Speed stat.
Struggle,Normal,Physical,40,1d10,--,An attack that is used in desperation only if the user has no PP. It also hurts the user slightly.
Struggle Bug,Bug,Special,20,1d6,100,"While resisting, the user attacks the opposing Pokémon. The targets' Sp. Atk stat is reduced."
Stun Spore,Grass,Other,10,--,75,The user scatters a cloud of paralyzing powder. It may leave the target with paralysis.
Submission,Fight,Physical,15,3d4,80,The user grabs the target and recklessly dives for the ground. It also hurts the user slightly.
Substitute,Normal,Other,30,--,--,The user makes a copy of itself using some of its HP. The copy serves as the user's decoy.
Sucker Punch,Dark,Physical,35,3d4,100,"This move enables the user to attack first. It fails if the target is not readying an attack, however."
Sunny Day,Fire,Other,35,--,--,"The user intensifies the sun for five turns, powering up Fire-type moves."
Super Fang,Normal,Physical,30,--,90,The user chomps hard on the target with its sharp front fangs. It cuts the target's HP to half.
Superpower,Fight,Physical,35,2d12,100,"The user attacks the target with great power. However, it also lowers the user's Attack and Defense."
Supersonic,Normal,Other,20,--,55,The user generates odd sound waves from its body. It may confuse the target.
Surf,Water,Special,25,2d8,100,It swamps the area around the user with a giant wave. It can also be used for crossing water.
Swagger,Normal,Other,25,--,90,"The user enrages and confuses the target. However, it also sharply raises the target's Attack stat."
Swallow,Normal,Other,30,--,--,The power stored using the move Stockpile is absorbed by the user to heal its HP. Storing more power heals more HP.
Sweet Kiss,Normal,Other,30,--,75,"The user kisses the target with a sweet, angelic cuteness that causes confusion."
Sweet Scent,Normal,Other,20,--,100,"A sweet scent that lowers the opposing team's evasiveness. It also lures wild Pokémon if used in grass, etc."
Swift,Normal,Special,20,1d12,--,Star-shaped rays are shot at the opposing team. This attack never misses.
Switcheroo,Dark,Other,30,--,100,The user trades held items with the target faster than the eye can follow.
Swords Dance,Normal,Other,10,--,--,A frenetic dance to uplift the fighting spirit. It sharply raises the user's Attack stat.
Synchronoise,Psychc,Special,25,3d4,100,"Using an odd shock wave, the user inflicts damage on any Pokémon of the same type in the area around it."
Synthesis,Grass,Other,35,--,--,The user restores its own HP. The amount of HP regained varies with the weather.
Tackle,Normal,Physical,5,1d10,100,A physical attack in which the user charges and slams into the target with its whole body.
Tail Glow,Bug,Other,20,--,--,"The user stares at flashing lights to focus its mind, drastically raising its Sp. Atk stat."
Tail Slap,Normal,Physical,30,1d4,85,The user attacks by striking the target with its hard tail. It hits the target two to five times in a row.
Tail Whip,Normal,Other,10,--,100,"The user wags its tail cutely, making opposing Pokémon less wary and lowering their Defense stat."
Tailwind,Flying,Other,10,--,--,The user whips up a turbulent whirlwind that ups the Speed of all party Pokémon for four turns.
Take Down,Normal,Physical,20,2d8,85,"A reckless, full-body charge attack for slamming into the target. It also damages the user a little."
Taunt,Dark,Other,20,--,100,The target is taunted into a rage that allows it to use only attack moves for three turns.
Techno Blast,Normal,Special,35,2d8,100,The user fires a beam of light at its target. The type changes depending on the Drive the user holds.
Teeter Dance,Normal,Other,20,--,100,The user performs a wobbly dance that confuses the Pokémon around it.
Telekinesis,Psychc,Other,25,--,--,The user makes the target float with its psychic power. The target is easier to hit for three turns.
Teleport,Psychc,Other,20,--,--,Use it to flee from any wild Pokémon. It can also warp to the last Pokémon Center visited.
Thief,Dark,Physical,30,2d4,100,The user attacks and steals the target's held item simultaneously. It can't steal if the user holds an item.
Thrash,Normal,Physical,30,2d12,100,"The user rampages and attacks for two to three turns. It then becomes confused, however."
Thunder,Electr,Special,30,2d12,70,A wicked thunderbolt is dropped on the target to inflict damage. It may also leave the target with paralysis.
Thunder Fang,Electr,Physical,25,2d6,95,The user bites with electrified fangs. It may also make the target flinch or leave it with paralysis.
Thunder Wave,Electr,Other,20,--,100,A weak electric charge is launched at the target. It causes paralysis if it hits.
Thunderbolt,Electr,Special,25,2d8,100,A strong electric blast is loosed at the target. It may also leave the target with paralysis.
Thunderpunch,Electr,Physical,25,3d4,100,The target is punched with an electrified fist. It may also leave the target with paralysis.
Thundershock,Electr,Special,10,2d4,100,A jolt of electricity is hurled at the target to inflict damage. It may also leave the target with paralysis.
Tickle,Normal,Other,20,--,100,"The user tickles the target into laughing, reducing its Attack and Defense stats."
Torment,Dark,Other,25,--,100,"The user torments and enrages the target, making it incapable of using the same move twice in a row."
Toxic,Poison,Other,30,--,90,A move that leaves the target badly poisoned. Its poison damage worsens every turn.
Toxic Spikes,Poison,Other,20,--,--,The user lays a trap of poison spikes at the opponent's feet. They poison opponents that switch into battle.
Transform,Normal,Other,30,--,--,The user transforms into a copy of the target right down to having the same move set.
Tri Attack,Normal,Special,30,3d4,100,"The user strikes with a simultaneous three-beam attack. May also burn, freeze, or leave the target with paralysis."
Trick,Psychc,Other,30,--,100,The user catches the target off guard and swaps its held item with its own.
Trick Room,Psychc,Other,35,--,--,The user creates a bizarre area in which slower Pokémon get to move first for five turns.
Triple Kick,Fight,Physical,30,1d2,90,A consecutive three-kick attack that becomes more powerful with each successive hit.
Trump Card,Normal,Special,35,--,--,"The fewer PP this move has, the greater its attack power."
Twineedle,Bug,Physical,20,1d4,100,The user damages the target twice in succession by jabbing it with two spikes. It may also poison the target.
Twister,Dragon,Special,20,2d4,100,The user whips up a vicious tornado to tear at the opposing team. It may also make targets flinch.
U-turn,Bug,Physical,20,3d4,100,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
Uproar,Normal,Special,30,2d8,100,"The user attacks in an uproar for three turns. Over that time, no one can fall asleep."
V-create,Fire,Physical,35,3d12,95,"With a hot flame on its forehead, the user hurls itself at its target. It lowers the user's Defense, Sp. Def, and Speed stats."
Vacuum Wave,Fight,Special,10,2d4,100,The user whirls its fists to send a wave of pure vacuum at the target. This move always goes first.
Venoshock,Poison,Special,30,2d6,100,The user drenches the target in a special poisonous liquid. Its power is doubled if the target is poisoned.
Vicegrip,Normal,Physical,10,1d10,100,The target is gripped and squeezed from both sides to inflict damage.
Vine Whip,Grass,Physical,25,1d6,100,"The target is struck with slender, whiplike vines to inflict damage."
Vital Throw,Fight,Physical,30,3d4,--,"The user attacks last. In return, this throw move is guaranteed not to miss."
Volt Switch,Electr,Special,20,3d4,100,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
Volt Tackle,Electr,Physical,25,2d12,100,"The user electrifies itself, then charges. It causes considerable damage to the user and may leave the target with paralysis."
Wake-up Slap,Fight,Physical,30,1d12,100,"This attack inflicts big damage on a sleeping target. It also wakes the target up, however."
Water Gun,Water,Special,15,2d4,100,The target is blasted with a forceful shot of water.
Water Pledge,Water,Special,30,1d10,100,"A column of water strikes the target. When combined with its fire equivalent, the damage increases and a rainbow appears."
Water Pulse,Water,Special,20,1d12,100,The user attacks the target with a pulsing blast of water. It may also confuse the target.
Water Sport,Water,Other,25,--,--,The user soaks itself with water. The move weakens Fire-type moves while the user is in the battle.
Water Spout,Water,Special,35,3d10,100,"The user spouts water to damage the opposing team. The lower the user's HP, the less powerful it becomes."
Waterfall,Water,Physical,25,3d4,100,The user charges at the target and may make it flinch. It can also be used to climb a waterfall.
Weather Ball,Normal,Special,30,1d10,100,An attack move that varies in power and type depending on the weather.
Whirlpool,Water,Special,25,1d6,85,Traps foes in a violent swirling whirlpool for four to five turns.
Whirlwind,Normal,Other,20,--,100,"The target is blown away, to be replaced by another Pokémon in its party. In the wild, the battle ends."
Wide Guard,Rock,Other,30,--,--,"The user and its allies are protected from wide-ranging attacks for one turn. If used in succession, its chance of failing rises."
Wild Charge,Electr,Physical,25,2d8,100,The user shrouds itself in electricity and smashes into its target. It also damages the user a little.
Will-o-wisp,Fire,Other,25,--,75,"The user shoots a sinister, bluish-white flame at the target to inflict a burn."
Wing Attack,Flying,Physical,5,1d12,100,"The target is struck with large, imposing wings spread wide to inflict damage."
Wish,Normal,Other,30,--,--,"One turn after this move is used, the target's HP is restored by half the user's maximum HP."
Withdraw,Water,Other,1,--,--,"The user withdraws its body into its hard shell, raising its Defense stat."
Wonder Room,Psychc,Other,30,--,--,The user creates a bizarre area in which Pokémon's Defense and Sp. Def stats are swapped for five turns.
Wood Hammer,Grass,Physical,25,2d12,100,The user slams its rugged body into the target to attack. The user also sustains serious damage.
Work Up,Normal,Other,10,--,--,"The user is roused, and its Attack and Sp. Atk stats increase."
Worry Seed,Grass,Other,30,--,100,A seed that causes worry is planted on the target. It prevents sleep by making its Ability Insomnia.
Wrap,Normal,Physical,20,1d2,90,A long body or vines are used to wrap and squeeze the target for four to five turns.
Wring Out,Normal,Special,35,--,100,"The user powerfully wrings the target. The more HP the target has, the greater this attack's power."
X-scissor,Bug,Physical,25,3d4,100,The user slashes at the target by crossing its scythes or claws as if they were a pair of scissors.
Yawn,Normal,Other,30,--,--,The user lets loose a huge yawn that lulls the target into falling asleep on the next turn.
Zap Cannon,Electr,Special,35,2d12,50,The user fires an electric blast like a cannon to inflict damage and cause paralysis.
Zen Headbutt,Psychc,Physical,25,3d4,90,The user focuses its willpower to its head and attacks the target. It may also make the target flinch.